county,totalpop
Baker ,"16,741"
Benton ,"78,153"
Clackamas ,"338,391"
Clatsop ,"35,630"
Columbia ,"43,560"
Coos ,"62,779"
Crook ,"19,182"
Curry ,"21,137"
Deschutes ,"115,367"
Douglas ,"100,399"
Gilliam ,"1,915"
Grant ,"7,935"
Harney ,"7,609"
Hood River ,"20,411"
Jackson ,"181,269"
Jefferson ,"19,009"
Josephine ,"75,726"
Klamath ,"63,775"
Lake ,"7,422"
Lane ,"322,959"
Lincoln ,"44,479"
Linn ,"103,069"
Malheur ,"31,615"
Marion ,"284,834"
Morrow ,"10,995"
Multnomah ,"660,486"
Polk ,"62,380"
Sherman ,"1,934"
Tillamook ,"24,262"
Umatilla ,"70,548"
Union ,"24,530"
Wallowa ,"7,226"
Wasco ,"23,791"
Washington ,"445,342"
Wheeler ,"1,547"
Yamhill ,"84,992"
